exp_name,model,train,test,in_acc,in_auc,in_eer,cross_acc,cross_auc,cross_eer
es_ast_r01,ast,commonvoice-es,mailabs-es,0.9889282550930026,0.9999435135069403,0.0044286979627989375,0.9035830618892509,0.9931025262867511,0.040390879478827364
es_ast_r02,ast,commonvoice-es,mailabs-es,0.9880425155004429,0.99937943311097,0.013286093888396812,0.8912052117263843,0.9832940402550691,0.057980456026058634
es_ast_r03,ast,commonvoice-es,mailabs-es,0.9202834366696191,0.993555832583449,0.042515500442869794,0.7361563517915309,0.9655402179333468,0.1003257328990228
es_resnet18_r01,resnet18,commonvoice-es,mailabs-es,0.9995571302037201,1.0,0.0,0.9547231270358306,0.996248660463241,0.031270358306188926
es_resnet18_r02,resnet18,commonvoice-es,mailabs-es,0.9995571302037201,0.9999992154653742,0.0008857395925597874,0.9576547231270358,0.99271419325404,0.04755700325732899
es_resnet18_r03,resnet18,commonvoice-es,mailabs-es,0.9986713906111603,0.9999960773268709,0.0008857395925597874,0.9609120521172638,0.9985926641131472,0.016286644951140065
es_resnet50_r01,resnet50,commonvoice-es,mailabs-es,0.9995571302037201,0.9999976463961225,0.0008857395925597874,0.8628664495114007,0.9834111767764115,0.0742671009771987
es_resnet50_r02,resnet50,commonvoice-es,mailabs-es,1.0,1.0,0.0,0.9462540716612378,0.9975414062748675,0.024104234527687295
es_resnet50_r03,resnet50,commonvoice-es,mailabs-es,0.9991142604074402,0.9999984309307484,0.0008857395925597874,0.947557003257329,0.9976360491888508,0.024755700325732898
es_septr_r01,septr,commonvoice-es,mailabs-es,0.9641275465013286,0.99281287829279,0.04428697962798937,0.7514657980456027,0.8863703593672081,0.20390879478827362
es_septr_r02,septr,commonvoice-es,mailabs-es,0.9424269264836138,0.9833427608244204,0.06820194862710363,0.8201954397394137,0.8596946386699064,0.2234527687296417
es_septr_r03,septr,commonvoice-es,mailabs-es,0.9344552701505757,0.9748180075801735,0.070859167404783,0.7817589576547231,0.8627329732941463,0.21563517915309446
