exp_name,model,train,test,in_acc,in_auc,in_eer,cross_acc,cross_auc,cross_eer
ro_ast_r01,ast,commonvoice-ro,voxpopuli,0.9989766680311093,0.9999953085067329,0.001637331150225133,0.5755395683453237,0.9816111139865087,0.050359712230215826
ro_ast_r02,ast,commonvoice-ro,voxpopuli,0.9973393368808842,0.9999757047670096,0.0024559967253376994,0.5523081534772182,0.9818654968111842,0.043764988009592325
ro_ast_r03,ast,commonvoice-ro,voxpopuli,0.9975440032746623,0.9999780505136432,0.002046663937781416,0.5711930455635491,0.9614442888135535,0.09802158273381295
ro_resnet18_r01,resnet18,commonvoice-ro,voxpopuli,1.0,1.0,0.0,0.47811750599520386,0.6882575324632382,0.361810551558753
ro_resnet18_r02,resnet18,commonvoice-ro,voxpopuli,1.0,1.0,0.0,0.49835131894484413,0.8216746746487703,0.22721822541966427
ro_resnet18_r03,resnet18,commonvoice-ro,voxpopuli,1.0,1.0,0.0,0.9835131894484412,0.998357878445445,0.016486810551558755
ro_resnet50_r01,resnet50,commonvoice-ro,voxpopuli,1.0,1.0,0.0,0.7655875299760192,0.9757913992546969,0.0764388489208633
ro_resnet50_r02,resnet50,commonvoice-ro,voxpopuli,1.0,1.0,0.0,0.8333333333333334,0.9879562177596053,0.04526378896882494
ro_resnet50_r03,resnet50,commonvoice-ro,voxpopuli,1.0,1.0,0.0,0.6879496402877698,0.9354731143143039,0.1357913669064748
ro_septr_r01,septr,commonvoice-ro,voxpopuli,0.9948833401555465,0.999723034343909,0.007367990176013099,0.5025479616306955,0.7028392573710815,0.3315347721822542
ro_septr_r02,septr,commonvoice-ro,voxpopuli,0.9948833401555465,0.999925103661057,0.0036839950880065493,0.4941546762589928,0.6042858159515553,0.44184652278177455
ro_septr_r03,septr,commonvoice-ro,voxpopuli,0.9631600491199345,0.12271203832145743,0.7981989357347523,0.4377997601918465,0.602807052918816,0.44274580335731417
