exp_name,model,train,test,in_acc,in_auc,in_eer,cross_acc,cross_auc,cross_eer
zh_ast_r01,ast,commonvoice-zh,aishell3,0.9940298507462687,0.9995406054305587,0.004975124378109453,0.7702297702297702,0.8612576234953857,0.2217782217782218
zh_ast_r02,ast,commonvoice-zh,aishell3,0.9955223880597015,0.9999049528477018,0.0029850746268656717,0.7517482517482518,0.8211957872297533,0.25674325674325676
zh_ast_r03,ast,commonvoice-zh,aishell3,0.9950248756218906,0.9995673374421424,0.005970149253731343,0.7892107892107892,0.8735779704810674,0.2017982017982018
zh_resnet18_r01,resnet18,commonvoice-zh,aishell3,1.0,1.0,0.0,0.6313686313686314,0.8449911726635003,0.22577422577422576
zh_resnet18_r02,resnet18,commonvoice-zh,aishell3,1.0,1.0,0.0,0.6463536463536463,0.8036229504760973,0.28471528471528473
zh_resnet18_r03,resnet18,commonvoice-zh,aishell3,1.0,1.0,0.0,0.6708291708291708,0.8333265136461938,0.2517482517482518
zh_resnet50_r01,resnet50,commonvoice-zh,aishell3,1.0,1.0,0.0,0.6913086913086913,0.8450380788043126,0.24075924075924077
zh_resnet50_r02,resnet50,commonvoice-zh,aishell3,1.0,1.0,0.0,0.6648351648351648,0.8283195326152368,0.24475524475524477
zh_resnet50_r03,resnet50,commonvoice-zh,aishell3,1.0,1.0,0.0,0.6903096903096904,0.8510660169001827,0.22277722277722278
zh_septr_r01,septr,commonvoice-zh,aishell3,0.9756218905472637,0.9978941115318927,0.021890547263681594,0.6508491508491508,0.7804792609987414,0.2977022977022977
zh_septr_r02,septr,commonvoice-zh,aishell3,0.9492537313432836,0.9877270364594936,0.05572139303482587,0.7052947052947053,0.7988634741881495,0.26573426573426573
zh_septr_r03,septr,commonvoice-zh,aishell3,0.9522388059701492,0.5174763000915819,0.44676616915422884,0.5759240759240759,0.7979073873179767,0.27472527472527475
